Production_company,No. of movies
Channel Four Film,1
Channel Four Films,61
Channel IV,1
Channel Neko,1
Channel One Productions,1
Channel One Russia,4
Channeler Enterprises,1
Chanticleer Films,1
Chao Lik Film,1
Chaos Productions,1
Chaos Squared,1
Chapalo Films S.A.,1
Chapeau Films,1
Chaplin Film Productions Ltd.,1
Chappellabe Productions,1
Chapter 2,1
Chapter V Enterprises,1
Chariot 7 Productions,1
Charisma Films,2
Charlemagne Productions,1
Charlermthai Studio,1
Charles 'Buddy' Rogers Productions,1
Charles B. Pierce Advertising and Productions,1
Charles B. Pierce Film Productions,3
Charles Band Productions,7
Charles Burnett Productions,1
Charles Chaplin Productions,11
Charles Chauvel Productions,1
Charles H. Schneer Productions,3
Charles K. Feldman Group,5
Charles Martin Productions,1
Charles Matthau-Jerry Tokofsky-John Davis Productions,1
Charles O'Brien Productions,1
Charles R. Rogers Productions,3
Charley Associates,1
Charlie Banks,1
Charlie Guidance Productions,2
Charlie Mopic,1
Charlie's Bratislava,1
Charm City Productions,1
Charney/Hoist Production,1
Charter Film Productions,5
Chartoff Productions,1
Chartoff-Winkler Productions,9
Chartwell Films,1
Chase Film Co.,1
Chase Films,1
Chasing Ganesha Films,1
Chateau Productions,2
Chatzpah Films,1
Chaudhary Enterprises,2
Cheap Date,1
Cheap and Dirty Productions Inc.,1
Check Entertainment,2
Cheerful Productions,1
Cheerful Weather,1
Cheerleader LLC,1
Cheese Filmproduktion,1
Cheesy Nuggets Productions,1
Cheetah,1
Cheil Communications,1
Chelsea Partners,1
Chelsea Pictures,1
Chelsea Walls Inc.,1
Chenault Productions,1
Chengtian Entertainment,1
Cherokee Productions,6
Cherokee-Brigade Productions,1
Cherrific Entertainment,1
Cherry Alley Productions,1
Cherry Movie,1
Cherry Sky Films,2
Cheshire Smile Productions,2
Chesler/Perlmutter Productions,4
Chessman Park Productions,1
Chester Erskine Productions,1
Chester Films Inc.,1
Chester M. Franklin Productions,1
Chesterfield Motion Pictures Corporation (I),6
Chestnut Hill Productions,2
Cheung Ming Film,1
Cheung Yau Martial Arts Direction Company,1
Cheung Yau Production Co.,2
Cheviot Productions,1
Cheyenne Enterprises,2
Chez Wam,3
Chheda Films,1
Chi He Film Company,1
Chi Ã¨ di scena,1
Chia Hsin Film Company,1
Chibote,1
Chic Films,1
Chicago Pacific Entertainment,1
Chicago Pictures,2
Chicaray Films,1
ChickFlicks Productions,1
Chickasabogue Filmworks LLC,1
Chicken And Egg Pictures,1
Chicken Enterprises,1
Chicken Pictures,1
Chickie the Cop,1
Childhood Productions,1
Children Playing Around the Fire Pot,1
Children's Film Foundation (CFF),3
Children's Television Workshop (CTW),1
Chilechita Producciones,2
ChillStarr Pictures,1
Chimera Films LLC,1
Chimney Pot,2
Chin Hua Film Company,2
China Entertainment Films Production,3
China Film Co-Production Corporation,12
China Film Co-Production,1
China Film Group Corporation (CFGC),11
China Film Release Import and Export Company,1
China Movie Channel,1
China Star Entertainment,37
Chinarunn Entertainment Inc.,1
Chinese Bookie Pictures,1
Chinguitty Films,1
Chinn-Adrian Productions,1
Chinni Films,1
Chips Productions,2
Chirag Arts,1
Chiragdeep International,1
Chitrakalpa,2
Chitralaya Pictures,1
Chitralaya,1
Chitram Movies,1
ChloÃ« Productions,3
Chocolate Chip,1
Choila Producciones CinematogrÃ¡ficas,1
Choker Films,1
Choose Films,1
Chosen Film Company,1
Chranders,1
Chrislaw Productions,4
Christa Saredi,1
Christal Films Distribution,1
Christal Films,2
Christel Films,1
Christian Bourgois Productions,1
ChristianCinema.com,1
Christiana Film,1
Christiania Film,3
Christiano Film Group,5
Christie Corporation,1
Christie Film Company,1
Christina Films,1
Christina's House Productions,1
Christine Hakim Film,2
Christmas In July,1
Christoffel Films,1
Christopher Columbus Productions,1
Christopher Eberts Productions,1
Christopher Johnson Company,1
Christopher Milburn Production,1
Chroma III Productions,4
Chronos-Film,1
Chrysalide Film,2
Chrystal Films,1
Chrystal Productions,1
Chubu-nippon Broadcasting Company (CBC),1
Chuck Barris Productions,1
Chuck Williams Productions,1
Chukyo TV Broadcasting Company (CTV),1
Chullachaki Producciones,2
Chum Television,2
Chun Sing Film Company,2
Chung Yuen Motion Picture Company,2
Chungeorahm Film,4
Chunichi Eigasha,1
Church of Jesus Christ of Latter-day Saints,1
Churchill Films,1
ChÃ¢teau-Rouge Production,1
Ci. Ti. Cinematografica,1
CiBy 2000,16
CiP - Europaische Treuhand AG,1
Ciao Productions,1
Cicada Films,1
Cicala Filmworks,3
Cigno Film,1
Cigua Films,3
Cima Media International,1
Cima Productions,1
Cimarron Productions,1
Cimate Film,1
Cimbria Film AB,4
CinAmerica,1
Cinak Compagnie CinÃ©matographique,1
Cinamerica International,1
Cinamour Entertainment,1
Cine 2000,1
Cine 3 S.r.l.,1
Cine Artist Film GmbH,2
Cine Artists International,1
Cine Azimut,2
Cine Bazar,12
Cine Blitz Productions,1
Cine Camera,1
Cine Cine Productions Inc.,1
Cine Cut Films Inc.,1
Cine Decima,1
Cine Duck,2
Cine Enterprises,1
Cine Escalation,1
Cine Excel Entertainment,4
Cine Experimental de la Universidad de Chile,1
Cine Films Inc.,1
Cine II CV,1
Cine Image,1
Cine Location Services,1
Cine Lu.Ce.,1
Cine Mosaic,1
Cine Nomine,4
Cine Nuevo,1
Cine Ojo,1
Cine Plus Filmproduktion,1
Cine Pool,1
Cine Qua Non Films,3
Cine Saison,1
Cine Star Rental AB,1
Cine TV Film,1
Cine Technician Productions,1
Cine Vesta Associates,1
Cine Workshop,1
Cine XXI,2
Cine,1
Cine-2000 Film Production,2
Cine-Allianz Tonfilmproduktions GmbH,1
Cine-Art MÃ¼nchen,1
Cine-Film Sri Lanka,1
Cine-Italia Film,2
Cine-Produzioni Associate,3
Cine-Qua-Non,1
Cine-Source,2
Cine365 Films,1
CinePantera,2
CinePartners Entertainment,1
CinePostproduction,1
CineRidge Entertainment,1
CineRocket,1
CineSon Entertainment,2
CineStar Productions,1
CineTel Pictures,1
CineVentures,1
CineVita Productions,1
CineWild,1
Cineanimadores,1
Cineart Films,1
Cineart Production,1
Cinearte ProduÃ§Ãµes CinematogrÃ¡ficas,1
Cineast Screen Developments,1
Cinebiss,1
Cinebruto,1
Cinecidi,2
CinecittÃ,7
Cineclick Asia,2
Cinecom Entertainment Group,2
Cinecompany,1
Cinecoord International,1
Cinecorp Production,1
Cinecorp SAC,1
Cinecrest,2
Cinecris,1
Cinedigm Entertainment Group,2
Cinediorama,1
Cinedistri,3
Cinedoris S.P.A.,1
Cinefarm,1
Cinefilms,2
Cinefrontera,1
Cinegai S.p.A.,5
Cineglobe Productions,1
Cinegraf Productions,1
Cinegram,3
Cinegrit,1
Cineguild Entertainment Group,1
Cineguild,6
Cinehaus,3
Cinejota Filmproduktionsgesellschaft mbH & Co.,1
Cinekap,1
Cinekip,1
Cinelanka,1
Cineline 2,2
Cineline,1
Cinelulu Internationale Filmproduktiongesellshaft mbH and Co. 1 Beteilegung KG,1
Cineluz - ProduÃ§Ãµes CinematogrÃ¡ficas Lda.,1
Cineluz,1
Cinema '85,1
Cinema 13 Cooperativa,2
Cinema 23 Film,1
Cinema 5,1
Cinema 7,1
Cinema 77 4.KG Berlin,1
Cinema 77,6
Cinema 80,2
Cinema Alliance,1
Cinema Angel Fund,1
Cinema Art,6
Cinema Artists Productions,1
Cinema Artists,2
Cinema Arts Productions,2
Cinema Brasil Digital,2
Cinema Capital Entertainment Ltd.,1
Cinema Center Films,18
Cinema City & Films Co.,7
Cinema City Enterprises,5
Cinema City Entertainment,1
Cinema City Film Productions,3
Cinema City Films,1
Cinema City Motion Picture,1
Cinema City,16
Cinema Corporation of America (II),1
Cinema Croccio,1
Cinema Due,1
Cinema Enterprises,2
Cinema Entertainment,2
Cinema Epoch,2
Cinema Factory Production Ltd.,2
Cinema Features,2
Cinema Group 75,1
Cinema Group Ventures,7
Cinema Group,2
Cinema Gypsy Productions,1
Cinema Home Video Productions,1
Cinema Home Video,2
Cinema IV,1
Cinema International,1
Cinema Investments Company,1
Cinema Jenis,1
Cinema Lapiniere,1
Cinema Libre Studio,2
Cinema Line Film Corporation,1
Cinema Organization,1
Cinema Overseas,1
Cinema Paradise,1
Cinema Placet,1
Cinema Plaset,1
Cinema Plus,3
Cinema Post Production Ltd.,1
Cinema Production Center,1
Cinema Project,1
Cinema Projects GmbH,1
Cinema Projects International,1
Cinema S.p.a.,1
Cinema Sciences Corporation,2
Cinema Service Corp.,1
Cinema Service,8
Cinema Services,1
Cinema Seven Productions,1
Cinema Studio Corporation,1
Cinema Support Foundation,1
Cinema Sur,1
Cinema Tex,1
Cinema VII,2
Cinema Vehicle Services,2
Cinema Ventures,2
Cinema Video Communications (CVC),1
Cinema West Productions,1
Cinema Zenith,1
Cinema and Theatre Seating Limited,2
Cinema-Vu,1
CinemaCity Films LLC,1
CinemaLink,1
CinemaNX,1
Cinemabeam,1
Cinemabrain,1
Cinemagate,1
Cinemagic Inc.,1
Cinemagic Visual Effects,1
Cinemagroup,1
Cinemalaya Foundation,1
Cinemalaya,1
Cineman,1
Cinemancer Pte Ltd.,1
Cinemanila,2
Cinemaprada,1
Cinemar,2
Cinemarque Entertainment BV,1
Cinemarque Entertainment,1
Cinemascope,1
Cinemasia,1
Cinemaster S.r.l.,11
Cinematic Arts B.V.,1
Cinematic Productions,1
Cinematografica Associati (CI.AS.),5
Cinematografica Cervi,1
Cinematografica EmmeCi,2
Cinematografica Latina,1
Cinematografica Latino Americana S.A. (C.L.A.S.A.),1
Cinematografica Mercedes,2
Cinematografica Pelimex,2
Cinematografica RI.RE,1
Cinematograph AB,5
Cinematograph,2
CinematogrÃ¡fica ABSA,7
CinematogrÃ¡fica AtlÃ¡ntida,1
CinematogrÃ¡fica CalderÃ³n S.A.,16
CinematogrÃ¡fica EspaÃ±ola Americana (CEA),1
CinematogrÃ¡fica Filmex S.A.,4
CinematogrÃ¡fica Grovas,1
CinematogrÃ¡fica Marte S.A.,1
CinematogrÃ¡fica Pelimex,1
CinematogrÃ¡fica S.A.,1
CinematogrÃ¡fica Sotomayor,1
CinematogrÃ¡fica ValdÃ©s,1
CinematogrÃ¡fica Victoria,1
Cinematt Pictures,2
Cinemaundici,4
Cinemavault,1
Cinemawalla,2
Cinemec Produzione,2
Cinemedia Films Inc.,2
Cinemedia,3
Cinemello S.r.l.,1
Cinemetro Films,1
Cinemondial,2
Cinemonster Films,1
Cinemotion Twenty-First Inc.,1
Cinend,1
Cinenord Spillefilm,1
Cinenove,1
Cinepata,2
Cinephile,1
Cineplex Odeon Films,14
Cinepolis Producciones,1
Cinepro,1
Cineproduzione Emo Bistolfi,3
Cineproduzioni Daunia 70,7
Cinequanon Pictures International Inc.,1
Cinequanon,5
Cinequest Films,3
Cinequipe,2
Cinerama Productions Corp.,2
Cinerebel Films,1
Cinered Internationale Filmproduktionsgesellschaft mbH & Co. 1. Beteiligungs KG,1
Cinerenta Medienbeteiligungs KG,10
Cinergi Pictures Entertainment,6
Cinergon Productions,1
Cinergy Films,1
Cinergy Pictures,1
Cineritino S.r.L.,1
Cineriz,8
Cineroma,1
Cineronde-Canada,1
Cinescope Productions,1
Cinesecolo,2
Cinesthesia Productions,2
Cinesud,1
Cinetel Films,37
Cinetel S.A.,2
Cinetic Media,1
Cinetirrena National Cinematografica,1
Cinetopia Productions,1
Cinetron Productions,1
Cineurop,1
Cineuropa 92,2
Cineurope,1
Cinevega,1
Cinevent,1
Cineventure Productions London,1
Cinevera S.p.a.,1
Cinevideo 80,1
Cineville ProduÃ§Ãµes CinematogrÃ¡ficas,1
Cineville,15
Cinevision,1
Cinevista,2
Cinevita Film Company,1
Cinevox Filmproduktion GmbH,1
Cinewise Film,1
Cineworld Entertainment,2
Cinexacto Films,1
Cinexus Capital Corporation,1
Cineye Films,1
Cineyugg Entertainment Pvt. Ltd.,3
Cino del Duca,2
Cinq Productions,1
CinÃ© B,6
CinÃ© Cinq,2
CinÃ© France,1
CinÃ© Mag Bodard,1
CinÃ© Tamaris,8
CinÃ© TÃ©lÃ© Action,1
CinÃ© Valse,3
CinÃ© Vog Films,1
CinÃ©-Alliance,6
CinÃ©-Arys,1
CinÃ©-Sud Promotion,1
CinÃ©Groupe,1
CinÃ©a,9
CinÃ©as,7
CinÃ©centrum N.V.,2
CinÃ©citÃ© Marocaine,1
CinÃ©dia,1
CinÃ©graphic,2
CinÃ©ma 9,1
CinÃ©maginaire Inc.,10
CinÃ©mane Films,1
CinÃ©mation,1
CinÃ©max,2
CinÃ©phonic,6
CinÃ©pix Film Properties (CFP),4
CinÃ©pix,5
CinÃ©production,3
CinÃ©tel,4
CinÃ©tÃ©lÃ© Productions,1
CinÃ©tÃ©lÃ©films,2
CinÃ©tÃ©vÃ©,1
CinÃ©vidÃ©o,1
CinÃ©vision LtÃ©e,5
Cipa,2
Cipango Productions Audiovisuelles,1
Cipango,1
Cipher Films,1
Cipher Productions,1
Circe Films,3
Circle Box Entertainment,1
Circle JS Productions,1
Circle Northwood,1
Circle Productions Inc.,1
Circle Productions,2
Circle of Confusion,2
Circles Motion Pictures,1
Circo Beat S.r.l.,1
Circus Film,2
Circus King Productions,1
Circus Pictures,1
Cirrus Communications,2
Citadel Entertainment,1
Citadel Film Group,1
Cite-Films-Fides,1
Citel Films,2
Citizen Films,2
City Block Productions,2
City Enterprise,1
City Film,1
City Films,3
City Filmworks,1
City Heat Productions,7
City Investing Company,1
City Lights Entertainment Group,4
City Lights Pictures,2
City Story Pictures,2
City Time Partners,1
CitÃ© Films,16
CitÃ©-AmÃ©rique,4
Ciudad Lunar Producciones,1
Civic Duty Productions,1
Civic Producciones S.L.,1
Civilian Content,1
Civite Casa Films,1
Ciwen Media,1
Claes Eriksson Produktion,1
Clan Buchanan,1
Clan Celentano,1
Clap Entertainment,1
Clap Filmes,6
Clara Productions,1
Claridge Productions,1
Clarion Films,2
Clasa Films Mundiales,7
Clasart Film + TV Produktions GmbH,7
Class 5 Films,1
Class Limited,3
Class,1
Classic Film Industries,2
Classic Films,1
Classic,4
Claudia Cinematografica,3
Claudie Ossard Productions,1
Claudio Bonivento Productions,1
Clausen Film,3
Claussen & WÃ¶bke Filmproduktion GmbH,6
Claussen WÃ¶bke Putz Filmproduktion,2
Clavius Base,1
Clear Blue Sky Productions,2
Clear Concept Productions,1
Clear Entertainment,1
Clear Midnight,1
Clear Pictures,1
Clear Star Pictures,1
Clear Stream Pictures,1
Clear Type,1
Cleargate Films,1
Clearwater Entertainment,1
Clemente Lococo,1
Clemi Cinematografica,6
Cleminternazionale Cinematografica,2
Cleopatra Productions,1
Clesi Cinematografica Production,1
Clesi Cinematografica,16
Clever Image Studios,1
Clever Worm Entertainment,1
Cleves Investments,1
Cliff Cow Films,1
Cliffhanger Productions,1
Cliffjack Motion Pictures,1
Clinica Estetico,2
Clipsal Films,2
Clodio Cinematografica,2
Clonus Associates,1
Close Grip Films Ltd.,1
Closest to the Hole Productions,1
Clothespin Films,1
Cloud Ten Pictures,2
Clover Films,2
Cloverleaf,1
Clubdeal,2
Clube SilÃªncio,1
Clutch Productions Inc.,1
Clyde Is Hungry Films,1
ClÃ©a Productions,2
CoBo Fonds,4
CoMix Wave,1
Coach Carter,1
Coalition Film,2
Coast to Coast,1
Coast,1
Coatesgold,1
Coatwolf Productions,1
Cobalt Films,1
Cobalt Media Group,1
Cobra Entertainment,2
Cobra Film AG,1
Cobra Film Department,3
Cobra Film GmbH,2
Cobra Films,1
Cobra Productions (I),1
Cobra Productions,1
Cobra,1
Cobwebster Corporation,1
Cocinex,3
Cocinor,10
Coco Cartoon,1
Code Entertainment,6
Code Productions,3
Codo CinÃ©ma,1
Coevos Filmes,2
Coffee Stain Productions,1
Cofiloisirs,1
Cofimage 10,2
Cofimages 12,1
Cofinova 3,1
Cofinova 4,1
Cognetti Films,1
Cohen Media Group,1
Cohen,1
Coherent Productions,1
Cohlan / Temple Productions,1
Col.Ima.Son,1
Colam Pictures Co.,1
Colapsar Entertainment Inc.,1
Colby Productions,1
Cold Fusion Films,1
Cold Fusion Media Group,1
Cold Iron Pictures,3
Cold River,1
Coldstream Films,1
Coldwater,1
Coleman/Roseblatt Productions,1
Coleytown Productions,1
Coleytown,1
Colgems Productions Ltd.,2
Colin Lesslie Productions,2
ColisÃ©e Films,1
Collaborative Studios,1
Collective Development,2
Collective Voice,1
Collector Company,1
Collectors Films LLC,1
College Assurance Plan (CAP) Philippines,1
College Productions,1
Collier Young Associates,1
Collina Film,2
Collins Avenue,1
Cologne Filmproduktion,1
Colonia Media,2
Colonial Productions,1
Colonna Film,1
Colonna-Film GmbH,1
Colony Pictures,1
Color Business Entertainment Ltd.,1
Color Chips Entertainment & Media,1
Color Force,1
Colorado Film Production,8
Colordance Pictures,2
Colored Players Film Corporation,1
Colour Me K Productions Limited,1
Colt Produzioni Cinematografiche,3
Columbia Associates,1
Columbia British Productions,2
Columbia Films Productions,1
Columbia Films,6
Columbia Pictures Corporation,29
Columbia Pictures Film Production Asia,9
Columbia Pictures Industries,2
Columbia Pictures Producciones Mexico,2
Columbia Pictures Television Trading Company,1
Columbia Pictures Television,2
Columbia Pictures,770
Columbia TriStar Filmes do Brasil,2
Columbia TriStar Home Video,1
Columbus America,1
Columbus Circle Films,1
Column Film,1
Column Productions,5
Comacico,5
Comala Films Productions,1
Combat,1
Come On Film Co.,1
Comedia-Film GmbH,1
Comedian International Enterprises,3
Comedy Central Films,1
Comet,1
Cometa Film,1
Comex,1
Comma 9,1
Command Cinema Corporation,1
Command Performance Productions,1
Command Productions,1
Commander Films Corporation,1
Comme des CinÃ©mas,1
Commedia Pictures Inc.,1
Commercial Films Siam,1
Commercial Pictures (I),1
Commies From Mars Corporation,1
Common Wealth Entertainment,1
Commonwealth United Entertainment,5
Commotion Pictures,1
Communicado Productions,2
Como Film,1
Como Films,2
Compact Yellowbill,1
Compact,2
Compagnia Cinematografica Antonio Cervi,1
Compagnia Cinematografica Champion,25
Compagnia Cinematografica Mondiale (CCM),4
Compagnia Cinematografica Montoro (CCM),2
Compagnia Cinematografica,1
Compagnia Generale Finanziaria Cinematografica,1
Compagnia Generale R.T.s.r.l.,1
Compagnia Internazionale Alessandra Cinematografica (CIAC),1
Compagnie CinÃ©matographique de France,5
Compagnie Commerciale FranÃ§aise CinÃ©matographique (CCFC),2
Compagnie Eric Rohmer (CER),4
Compagnie Franco Coloniale CinÃ©matographique (CFCC),2
Compagnie FranÃ§aise CinÃ©matographique (CFC),1
Compagnie FranÃ§aise de Distribution CinÃ©matographique (CFDC),1
Compagnie Industrielle et Commerciale CinÃ©matographique (CICC),12
Compagnie Internationale de Productions CinÃ©matographiques (CIPRA),3
Compagnie Jean Renoir,2
Compagnie des Films,1
Compagnie des Images,2
Compagnie du Cinema,1
Companhia de Imagem,1
Company Films,1
Company Four,1
Company Pictures,1
Company of the United Brothers Cinema,1
Compass International Pictures,4
Compass/Zenith International,1
CompaÃ±Ã­a CinematogrÃ¡fica de Baja California,1
CompaÃ±Ã­a Iberoamericana de TV,3
CompaÃ±Ã­a Industrial Film EspaÃ±ol S.A. (CIFESA),2
CompaÃ±Ã­a Nacional Productora de PelÃ­culas,1
CompaÃ±Ã­a de Fomento CinematogrÃ¡fico,1
Complex Corporation,3
Complex Films,1
Complex,1
Compound B,2
Comptoir FranÃ§ais de Productions CinÃ©matographiques (CFPC),1
Comptoir FranÃ§ais du Film Production (CFFP),12
Compton Films,6
Compulsion Inc.,1
Compulsive Films,1
Comstock,1
Comteg,1
ComÃ©die Star,2
ConQuest Entertainment,1
Conacite Dos,1
Conacite Uno,8
Conaculta,1
Concept Link Productions,1
Concept,1
Concepts Unlimited,1
Concord Creation International,1
Concord Film,1
Concorde Anois,2
Concorde Film,3
Concorde Pictures,32
Concorde-New Horizons,49
Concrete Films,3
Concrete Images,1
Condor Filmes,2
Condor Films Productions,1
Condor Films,5
Condor International Productions,1
Condor Media,1
Coneybeare Stories,1
Confetti Productions Ltd.,1
Congdon Productions,1
Congenital Engine,1
Congregational Productions,1
Connaught International,1
Connaught Latham,1
Connection III Entertainment,1
Connexion American Media,1
Connexion Film Productions,2
Connexion Film,1
Conniption Films,1
Conquerer Films Inc.,1
Conquering Lion Pictures,2
Conquering Unicorn,1
Conquest Productions,2
Conquistador Entertainment,3
Consant Films,1
ConsejerÃ­a de Cultura del Gobierno Vasco,1
Consejo Nacional de la Cultura y las Artes,1
Consejo Nacional para la Cultura y las Artes (CONACULTA),2
Consolidated Fiction,1
Consorzio Italiano Distributori Indipendenti Film (CIDIF),1
Consorzio Italiano Film (CIF),1
Consorzione 'Scipio l'Africano',1
Conspiracy Films,1
ConspiraÃ§Ã£o Filmes,6
Constan Films S.A.,1
Constance Bennett Productions,2
Constance Talmadge Film Company,2
Constantin Film,50
Constellation Entertainment,5
Constellation Films Inc.,1
Constellation LLC,1
Constitution Film,1
Constitution Films,4
Contact Capital,1
Contact Film,1
Contact Organisation,5
Contempo III Productions,1
Contemporary Filmakers,1
Contemporary Productions,1
Content Providers,1
ContentFilm International,4
ContentFilm,5
Continental Company,1
Continental Film Group Ltd.,2
Continental Films,8
Continental Motion Pictures,3
Continental Movie Productions,1
Continental Pictures,2
Continental Producciones,3
Continental Produzione,1
Continentalcine,1
Continuum Pictures,1
Contra Film,1
Contracosta ProduÃ§Ãµes,1
Contre Films,1
Control Track Productions,1
Control Z Films,1
Conundrum Entertainment,1
Convergence Productions,1
Convy-Fimberg Productions,1
Cook Street Productions,1
Cookout Productions,1
Coolbrook Media,1
Coop VidÃ©o de MontrÃ©al,5
Coop. CinematogrÃ¡fica Coperfilm,1
Coop99 Filmproduktion,8
Cooper/Hall Films,1
Cooperativa ACTA,1
Cooperativa Immaginazione,1
Cooperativa Jean Vigo,1
Cooperativa Spettatori Produttori Cinematografici,2
CoopÃ©rative GÃ©nÃ©rale du CinÃ©ma FranÃ§ais,2
Copa Productions,3
Copa del Oro,3
Copacabana Filmes e ProduÃ§Ãµes,1
Copacabana Filmes,1
Copelfilms,1
Copelia,1
Copperfield Communications,1
Copperheart Entertainment,3
Coproduction Office,4
Coquelicot Films,1
Coquette Productions,1
Corad,1
Coralta Cinematografica,4
CorazÃ³n International,2
CoraÃ§Ã£o da Selva,3
Core Productions Inc.,1
Core Studio,1
Corey Marr Productions Inc.,2
Corfo,1
Coriander,1
Corinthian Productions,1
Corman Co.,1
Corn Cobb Productions,2
Corn LLC,1
Corndog Enterprises,1
Corndog Productions,2
Cornelius Productions,1
Cornell Pictures,2
Corner Stone Pictures,1
Corner Store Entertainment,1
Corner Table Productions,1
Cornerstone Production Company,1
Cornfield Productions,1
Corniche Pictures,1
Corona Filmproduktion,3
Corona,1
Corona-General,1
Coronado Productions,7
Coronet Film,1
Coronet Films,2
Coronet s.r.l.,1
CorporaciÃ³n Ecuador para Largo,1
CorporaciÃ³n Nacional CinematogrÃ¡fica (CONACINE),6
Corporate Greed,1
Corporation Image M & M,2
Correctional Services,1
Corridor,2
Corrino Studios,1
Corsair Pictures,1
Corsan,7
Corsaro Productions,1
Cort/Madden Productions,1
Cos Group,1
Cosa Nueva,2
Cosefa,1
Cosmas,1
Cosmic Creations,1
Cosmic Pictures,1
Cosmo Film,4
Cosmokino,1
Cosmopol-Film,3
Cosmopolitan Film Productions,6
Cosmopolitan Productions,29
Cosmos Productions (II),1
Cosmos Productions (III),1
Costa Rica Production Support,1
Costantino International Films,1
Cote Blanche Productions,1
Cotta Media Entertainment,1
Cottonwood Pictures,1
Cougar Productions,1
Cougnar Productions,1
Count Features,1
Counterclock Productions,1
Counting Bodies Productions,1
Coup d'Etat Films,1
Courage Films,1
Courageous Films,1
Courts et Longs MÃ©trages (C.L.M.),2
Courtyard Films,1
Covent Garden Films Ltd.,1
CowGirl Productions,1
Cowboy Hat Films,1
Cowboy Outfit,1
Cowell Investment Capital Co.,1
Coyote County Productions,1
Crack Pty. Ltd.,1
Cracking the Earth Films Inc.,1
Cradle Productions Inc.,1
Craftsman Productions,1
Craig T. Rumar Productions,1
Cranium Candy Entertainment,2
Cranium Entertainment,1
Crappy World Films,2
Crash Pictures,1
Craven-Maddalena Films,2
Crawford Productions,2
Crawley Films,1
Craytic,1
Crazy Dreams Entertainment,2
Crazy Ralph Films,1
Crazy Wheels Fillms,1
Cream Film Production,1
Creando Films,1
Creanspeak Funding,1
Creative Commercials,2
Creative Content,1
Creative Differences,1
Creative Entertainment Group,1
Creative Film Enterprises Inc.,2
Creative Film Makers,1
Creative Film Productions,1
Creative Gap Filmproduktion,1
Creative Light Entertainment,2
Creative Media Services,1
Creative Movie Marketing,1
Creative Works S.A.,1
Creativos Asociados de Radio y TelevisiÃ³n (CARTEL),7
Creature Features,1
Creavidi,1
Credesca,1
Credofilm,7
Creepshow Films Inc.,1
Crescendo Film,2
Crescent Drive Pictures,1
Crescent Entertainment,1
Crescent Film Enterprises,1
Crescent Moon Films,1
Crescent Moon,2
Cresse-Frost Productions,1
Cricket Films,1
Crime Fiction Pictures LLC,1
Crime Scene Pictures,1
Crimson Knight,1
Crimson Productions,1
Crimson Wolf Productions,1
Cristaldi Pictures,1
Cristaldifilm,1
Criterion Films,1
Criterion Productions,2
Critical Conditions Productions Inc.,1
Critical Madness Productions Inc.,1
Croatia Film,4
Crombie Film,1
Cromford Productions,1
Cromwell Productions Ltd.,1
Crone Film Produktion A/S,4
Crone Film,2
Cronocinematografica S.p.a.,2
Crooked Teeth Productions,1
Cropsy Venture,1
Cross Country Productions,1
Cross Creek Productions,1
Cross Media,3
Cross River Pictures,1
CrossDay Productions Ltd.,1
Crossbow Productions,5
Crossfire Sound & Pictures,1
Crossing Paths,1
Crossroads Films,4
Crossroads World Film Services,1
Crotalus Productions,1
Crown Film Unit,1
Crown International Pictures,16
Crown Productions (II),2
Crown of Life Ministries,1
Crown-Hausman,1
Crowndale Holdings Ltd.,1
Crowvision Inc.,1
Cruel Stories Inc.,1
Cruella Productions,1
Cruise/Wagner Productions,2
Crunk Pictures,1
Crusader Entertainment,3
Cruzdelsur Zona Audiovisual,2
Crystal Film Corporation,1
Crystal Pictures,2
Crystal Productions,1
Crystal Sky Worldwide,7
Crystalfix,1
Crystalite Productions,1
Ctrl Z Films,1
Cuba Pictures,1
Cuban State Film,1
Cubbyhouse Production,1
Cube Libre,1
Cube Vision,2
Cubicle Warrior Productions,1
Cuckoo Films,1
Cucoloris Films,1
Culpan Productions LLC,1
Cult-Filmproduktionsges.m.b.H.,1
Cultural Ministry,1
Culture Cap Media,2
Culture Publishers (CP),1
Cumhur Film,1
Cupid Productions,1
Curb Entertainment,8
Curb Musifilm,1
Curb/Esquire Films,2
Curmudgeon Films,1
Curnan Motion Picture Services (CMPS ),1
Curtain Call Co.,1
Curtco,1
Curtis Enterprises,1
Curtis Lee Hanson,1
Curtleigh Productions,1
Curve of Happiness Partners LLC,1
Curzon Films,1
Cut 'n' Paste,1
Cut Above Productions,1
Cut Glass Productions LLC,1
Cut and Paste Films,1
Cut and Run Production,1
Cut to the Horse Productions Inc.,1
Cut-Scene Productions,1
Cut1Movie,1
Cutting Edge Entertainment,3
Cyan Pictures,1
CyberAgent,1
Cyberfilms Inc.,1
Cyberfish Media,1
Cyclone,2
Cyclops Vision,1
Cyclops,1
Cyfuno Ventures,1
Cynical Boy Productions,1
Cypher Productions Inc.,1
Cypress Films (I),2
Cypress Grove,1
Cypress Moon Productions,1
Cypress Point Productions,1
CythÃ¨re Films,1
Cyur Films,1
Czar Film,1
Czar Pictures,2
CÃ©lia Films,1
D & B Films Co. Ltd.,18
D & B Productions,1
D & D Filmproduktion,1
D & K Enterprises,1
D & P Productions,1
D & R Film Project,1
D Street Films,1
D Street Pictures,1
D&D Audiovisuais,1
D&R Pictures,1
D.A. Films,1
